DATE,Average wind speed,Max temp,Fastest 2-minute wind speed,Fastest 5-second wind speed
12/7/2020,,,,
1/17/2020,10.7,33,23.9,42.1
1/18/2020,4.92,37,17,25.9
1/19/2020,8.95,43,17,27.1
1/20/2020,7.83,31,18.1,29.1
1/21/2020,4.25,33,13,19
1/27/2020,6.26,45,10.1,17
1/28/2020,8.5,43,15,28
1/29/2020,6.71,41,14.1,23.9
1/30/2020,4.25,38,13,17
1/31/2020,3.8,44,8.1,11
2/1/2020,2.01,43,8.1,10.1
2/2/2020,4.92,45,18.1,27.1
2/3/2020,5.59,57,14.1,18.1
2/4/2020,3.36,61,8.9,15
2/5/2020,5.82,55,14.1,19.9
2/6/2020,6.93,41,15,19
2/7/2020,9.62,56,23.9,46.1
2/8/2020,7.38,41,18.1,28
2/9/2020,5.82,44,13,19.9
2/10/2020,6.26,47,14.1,23
2/11/2020,3.58,48,14.1,21
2/12/2020,5.37,46,16.1,27.1
2/13/2020,4.25,44,14.1,25.1
2/14/2020,7.38,40,19.9,32
2/15/2020,4.92,31,17,23.9
2/16/2020,5.59,44,15,23
